"","CodigoPostal","Barrio","TipoPropiedad","TipoAlquiler","MaxOcupantes","NumBanyos","NumDormitorios","NumCamas","TipoCama","Comodidades","PiesCuadrados","Precio","Puntuacion","MetrosCuadrados"
"11025","28017","Pueblo Nuevo","Apartment","Entire home/apt",5,1,3,5,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,70,87,NA
"11026","28017","Pueblo Nuevo","Apartment","Private room",1,0,1,1,"Real Bed","Wireless Internet,Air conditioning,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Washer",0,35,NA,0
"11027","28017","Pueblo Nuevo","Apartment","Entire home/apt",4,1,2,2,"Real Bed","TV,Wireless Internet,Kitchen,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,translation missing: en.hosting_amenity_50",NA,50,96,NA
"11028","28027","Quintana","Apartment","Entire home/apt",4,1,1,2,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",NA,55,100,NA
"11029","28027","Quintana","Apartment","Private room",1,1,1,1,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,First aid kit,Essentials,Hangers,Iron,translation missing: en.hosting_amenity_50",NA,15,97,NA
"11030","28027","Concepción","Apartment","Private room",1,1,0,1,"Real Bed","TV,Wireless Internet,Kitchen,Smoking allowed,Heating,Washer,Dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private living room",NA,13,100,NA
"11031","28043","San Juan Bautista","Apartment","Private room",2,2,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Pets live on this property,Elevator in building,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,50,100,NA
"11032","28033","Costillares","Apartment","Private room",1,1,1,1,"Real Bed","translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,21,95,NA
"11033","28033","Costillares","Apartment","Entire home/apt",4,1,1,1,"Real Bed","TV,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,70,93,NA
"11034","28033","Pinar del Rey","Apartment","Private room",1,1,1,1,"Real Bed","Wireless Internet,Free parking on premises,Elevator in building,Essentials,Shampoo,Lock on bedroom door,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,38,NA,NA
"11035","28043","Pinar del Rey","Apartment","Private room",2,1,1,1,"Real Bed","Internet,Wireless Internet,Wheelchair accessible,Pool,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Safety card,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,35,96,NA
"11036","28033","Apostol Santiago","Other","Private room",1,1,1,1,"Real Bed","Wireless Internet,Breakfast,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",NA,30,NA,NA
